"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"760055601137233921","","","2016-08-01 10:12:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Transpose words M-t https://t.co/ZBP1wyj069","","","","http://twitter.com/emacs_gifs/status/760055601137233921/photo/1"
"760055425249062912","","","2016-08-01 10:11:49 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Transpose character at point (swaps backwards) C-t https://t.co/IZjmOylB66","","","","http://twitter.com/emacs_gifs/status/760055425249062912/photo/1"
"760055169048383490","","","2016-08-01 10:10:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Just one space ... M-space https://t.co/IQag8IbHlA","","","","http://twitter.com/emacs_gifs/status/760055169048383490/photo/1"
"760055018753970176","","","2016-08-01 10:10:12 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Remove space around the point M-\ https://t.co/yP2GD1QjO6","","","","http://twitter.com/emacs_gifs/status/760055018753970176/photo/1"
"760054802407489536","","","2016-08-01 10:09:20 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Go to the beginning of the buffer M-&lt; - go to the end of the buffer M-&gt; https://t.co/FXfIh31O5b","","","","http://twitter.com/emacs_gifs/status/760054802407489536/photo/1"
"760054566427594752","","","2016-08-01 10:08:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Initial caps on next word M-c (Meta + c) https://t.co/NZI6DEnfIJ","","","","http://twitter.com/emacs_gifs/status/760054566427594752/photo/1"
"760054385950896129","","","2016-08-01 10:07:41 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lower case word M-l (Meta + L) https://t.co/fcp882XtYT","","","","http://twitter.com/emacs_gifs/status/760054385950896129/photo/1"
"760054159403999233","","","2016-08-01 10:06:47 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Upper case next word M-u (Meta + u) https://t.co/1qE0e8ej33","","","","http://twitter.com/emacs_gifs/status/760054159403999233/photo/1"
"760041639163207680","","","2016-08-01 09:17:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","If you would like to use it, the hacked EmacsGifs KeyCastr lives at https://t.co/eOhDXzSKGo","","","","https://github.com/emacsfodder/keycastr/"
"760037407232176128","759959964500697088","36319782","2016-08-01 09:00:13 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@sanityinc I hope you will be pleasantly surprised.","","","",""
"760031261314289664","","","2016-08-01 08:35:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hacked Keycastr some more, check it out. A few little tips in the GIF for fun. I'll re-do them as smaller GIFs later https://t.co/vZyyU2SoLp","","","","http://twitter.com/emacs_gifs/status/760031261314289664/photo/1"
"759960415220621312","759959964500697088","36319782","2016-08-01 03:54:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@sanityinc should have said ""of course"" first.  But yes consider that on the top of the hack list.","","","",""
"759958810601541633","759927780884684801","36319782","2016-08-01 03:47:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@sanityinc there's a problem with that.  For me Opt is Meta. Cmd is Super. Their association is configurable (of course)","","","",""
"759896414637789186","","","2016-07-31 23:39:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Hacking on KeyCastr for OSX so I'll have a nicer key display in the next GIFs -  feedback would be great https://t.co/7aWAe0k49D","","","","http://twitter.com/emacs_gifs/status/759896414637789186/photo/1"
"759658426842558464","759604154788618240","738330973","2016-07-31 07:54:17 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@cody_cz look in ./_configs all my mode specific configs are there","","","",""
"759657590506741760","759604154788618240","738330973","2016-07-31 07:50:57 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@cody_cz I use Auto-Complete mode you can view my config at https://t.co/SimfNOTpzX","","","","https://github.com/ocodo/.emacs.d"
"759206744392404994","","","2016-07-30 01:59:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Really nice Paredit Guide with GIFs https://t.co/KS2L8gHmX5 #not_me! Thanks @asmeurer","","","","http://danmidwood.com/content/2014/11/21/animated-paredit.html"
"759206018584834049","759205780302233600","502297701","2016-07-30 01:56:34 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@asmeurer I think video is a good idea, it wasn't in my nebulous plans though.  Certainly considering it.","","","",""
"759205511321546753","759102293975371776","502297701","2016-07-30 01:54:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@asmeurer I think you're highlighting the fact that these GIFs may be too long. Still knocking out the kinks after 6 days live. Video maybe?","","","",""
"759205128297644033","759203349174550530","9794132","2016-07-30 01:53:02 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@rafaelrinaldi I've updated the profile to give some info on theme and mode-line hack. #emacsdarktooth #amitpemacsmodeline","","","",""
"758923869117755392","758922864988819456","2178291475","2016-07-29 07:15:25 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@edvorg @RobStuttaford you can.  Kill file change, hunk, or selection  with 'k' (contextual)","","","",""
"758909125518426112","758905276007194624","14251616","2016-07-29 06:16:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@tekerson yep no need for the ^.*?  any string ending \.[mh]$","","","",""
"758906219423633408","","","2016-07-29 06:05:17 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","This is a bit rough, I'm trying out keycastr - this is a rough guide for Smart Parens https://t.co/aNykxRgy47","","","","http://twitter.com/emacs_gifs/status/758906219423633408/photo/1"
"758900562922381312","","","2016-07-29 05:42:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Just realised that regexp ( ^.*?\.[mh]$ ) might be a bit crazy. 140 chars is 2 short to explain, but basically any file ending with .m or .h","","","",""
"758900114391904256","","","2016-07-29 05:41:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","In dired I like to hide the files I'm not working with, I do this with M-x dired-do-kill-lines - info in the GIF https://t.co/I3CXluVDh7","","","","http://twitter.com/emacs_gifs/status/758900114391904256/photo/1"
"758893862974742528","758876420219154433","36319782","2016-07-29 05:16:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sanityinc true I need to up my production game. +key display +space to account for the GIF label.","","","",""
"758876161749291014","758868687214432256","36319782","2016-07-29 04:05:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sanityinc ah yes, I discovered it by accident a long time ago.  This is a nice format to post little tips like that.","","","",""
"758875830298607620","758872534594883584","16591440","2016-07-29 04:04:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@houlieoin I'm looking at options. KeyCastr is nice as is Visualize which @vimgifs suggested","","","",""
"758868412068048896","758866776155312128","36319782","2016-07-29 03:35:03 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@sanityinc assume you mean go-micro - yup, it looks like a very good framework for microservices.","","","",""
"758861381898637313","","","2016-07-29 03:07:07 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Smerge-mode pain reduction for merge conflicts https://t.co/mnQTNnT92P","","","","http://twitter.com/emacs_gifs/status/758861381898637313/photo/1"
"758850167453777926","","","2016-07-29 02:22:33 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Almost forgot, you can convert from CUA rectangle to multiple cursors with M-x mc/cua-rectangle-to-multiple-cursors https://t.co/9uYAWNXuj6","","","","http://twitter.com/emacs_gifs/status/758850167453777926/photo/1"
"758842634924208128","758091181569912832","757212242999783425","2016-07-29 01:52:37 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@90shilling let me hook you up with this. https://t.co/GU5je6R5gP the version in my .emacs.d","","","","https://github.com/ocodo/.emacs.d/blob/4ee41e847027dcb0a79509714cf0d6363396dc3a/custom/amitp-mode-line.el"
"758842054185095169","","","2016-07-29 01:50:18 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Long live the vintage editor gif thingameebob! https://t.co/y39KgSFITd","","","","https://twitter.com/vimgifs/status/758691638483030016"
"758676097911316480","758674098218213376","753937420471640064","2016-07-28 14:50:51 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@vimgifs thank you I'll check it out","","","",""
"758664167502950400","","753937420471640064","2016-07-28 14:03:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@vimgifs love what you're doing.  The keystroke display on the footer is great. What is that?","","","",""
"758658013494333440","758397442282971137","19078230","2016-07-28 13:39:00 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@EyalL magit rebase gif in effect","","","",""
"758637418119475200","","","2016-07-28 12:17:09 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","in CUA rectangle backspace works as expected.  Pity the undo is a bit weak, still use it all the time though.","","","",""
"758636871312257026","758613838321319936","22659366","2016-07-28 12:14:59 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@dubcroster I recorded the last one for ya.","","","",""
"758636722724872192","","","2016-07-28 12:14:24 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rectangular fun using cua-rectangle one of several Emacs rectangular modes. https://t.co/2qrGDRyeSY","","","","http://twitter.com/emacs_gifs/status/758636722724872192/photo/1"
"758632510364405760","","","2016-07-28 11:57:39 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fill-column fill-paragraph auto-fill?  Why not call it word-wrap!?!? #emacs_gifs https://t.co/qI8RK23ukk","","","","http://twitter.com/emacs_gifs/status/758632510364405760/photo/1"
"758630551410515968","","","2016-07-28 11:49:52 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Interactive Git Rebase with Magit in Emacs, it's just so easy. #magit #git #gitrebase #emacs_gifs https://t.co/Jamm7OQxzw","","","","http://twitter.com/emacs_gifs/status/758630551410515968/photo/1"
